alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
0.1,3,5,5,40,20,constant,complete,0,0,0.732360097323601,6,0,0,,,mixture/0.1/3/5/5
0.1,3,5,5,40,20,constant,average,0,0,0.732360097323601,6,0,0,,,mixture/0.1/3/5/5
0.1,3,5,5,40,20,constant,pam,0,0,0.8511166253101737,6,0,0,1,0,mixture/0.1/3/5/5
0.1,3,5,5,100,20,constant,single,0,0,0.5642701525054467,5,0,0,,,mixture/0.1/3/5/5
0.1,3,5,5,100,20,constant,complete,0,0,0.5642701525054467,5,0,0,,,mixture/0.1/3/5/5
0.1,3,5,5,100,20,constant,average,0,0,0.5642701525054467,5,0,0,,,mixture/0.1/3/5/5
0.1,3,5,5,100,20,constant,pam,0,1,1.0,5,0,0,1,0,mixture/0.1/3/5/5
0.1,3,5,6,40,20,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/6
0.1,3,5,6,40,20,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/6
0.1,3,5,6,40,20,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/6
0.1,3,5,6,40,20,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/6
0.1,3,5,6,100,20,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/6
0.1,3,5,6,100,20,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/6
0.1,3,5,6,100,20,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/6
0.1,3,5,6,100,20,constant,pam,0,1,1.0,3,1,1,0,1,mixture/0.1/3/5/6
0.1,3,5,7,40,20,constant,single,0,1,1.0,4,0,0,,,mixture/0.1/3/5/7
0.1,3,5,7,40,20,constant,complete,0,0,0.41764104892723347,4,0,0,,,mixture/0.1/3/5/7
0.1,3,5,7,40,20,constant,average,0,0,0.424304728925441,4,0,0,,,mixture/0.1/3/5/7
