alpha,K,mixture_id,dataset_id,n,N,d,cost_scheme,rule,threshold,k_hat,k_correct,exact_recovery,mixture_key
1.0,4,2,0,1000,800,3125,constant-mc,asw-pam,,4,1,1,hmm-mixture/4/4/5/2
1.0,4,3,0,1000,800,3125,constant-mc,threshold,0.2595996918334077,4,1,1,hmm-mixture/4/4/5/3
1.0,4,3,0,1000,800,3125,constant-mc,asw-pam,,3,0,0,hmm-mixture/4/4/5/3
1.0,4,4,0,1000,800,3125,constant-mc,threshold,0.23098051865904234,4,1,1,hmm-mixture/4/4/5/4
1.0,4,4,0,1000,800,3125,constant-mc,asw-pam,,4,1,1,hmm-mixture/4/4/5/4
1.0,4,5,0,1000,800,3125,constant-mc,threshold,0.23266284619594982,4,1,1,hmm-mixture/4/4/5/5
1.0,4,5,0,1000,800,3125,constant-mc,asw-pam,,3,0,0,hmm-mixture/4/4/5/5
1.0,4,6,0,1000,800,3125,constant-mc,threshold,0.20145470955031122,4,1,1,hmm-mixture/4/4/5/6
1.0,4,6,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/4/4/5/6
1.0,4,7,0,1000,800,3125,constant-mc,threshold,0.2029581237595585,4,1,1,hmm-mixture/4/4/5/7
1.0,4,7,0,1000,800,3125,constant-mc,asw-pam,,4,1,1,hmm-mixture/4/4/5/7
1.0,4,8,0,1000,800,3125,constant-mc,threshold,0.22202702538204577,4,1,1,hmm-mixture/4/4/5/8
1.0,4,8,0,1000,800,3125,constant-mc,asw-pam,,4,1,1,hmm-mixture/4/4/5/8
1.0,4,9,0,1000,800,3125,constant-mc,threshold,0.2571847584908566,4,1,1,hmm-mixture/4/4/5/9
1.0,4,9,0,1000,800,3125,constant-mc,asw-pam,,4,1,1,hmm-mixture/4/4/5/9
1.0,4,10,0,1000,800,3125,constant-mc,threshold,0.23032151440974938,4,1,1,hmm-mixture/4/4/5/10
1.0,4,10,0,1000,800,3125,constant-mc,asw-pam,,4,1,1,hmm-mixture/4/4/5/10
1.0,4,11,0,1000,800,3125,constant-mc,threshold,0.21799082549501955,4,1,1,hmm-mixture/4/4/5/11
1.0,4,11,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/4/4/5/11
1.0,4,12,0,1000,800,3125,constant-mc,threshold,0.2236246855783151,4,1,1,hmm-mixture/4/4/5/12
1.0,4,12,0,1000,800,3125,constant-mc,asw-pam,,4,1,1,hmm-mixture/4/4/5/12
1.0,4,13,0,1000,800,3125,constant-mc,threshold,0.18328120471013978,4,1,1,hmm-mixture/4/4/5/13
1.0,4,13,0,1000,800,3125,constant-mc,asw-pam,,4,1,1,hmm-mixture/4/4/5/13
1.0,4,14,0,1000,800,3125,constant-mc,threshold,0.22654800815721204,4,1,1,hmm-mixture/4/4/5/14
1.0,4,14,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/4/4/5/14
1.0,4,15,0,1000,800,3125,constant-mc,threshold,0.21452272606882505,4,1,1,hmm-mixture/4/4/5/15
1.0,4,15,0,1000,800,3125,constant-mc,asw-pam,,4,1,1,hmm-mixture/4/4/5/15
