alpha,K,d,mixture_id,dataset_id,n,N,cost_scheme,algorithm,ari,mixture_key
1,4,5,0,8,100,800,constant,single,5.066586218379486e-05,mixture/1/4/5/0
1,4,5,0,8,100,800,constant,average,0.9897798265054908,mixture/1/4/5/0
1,4,5,0,8,100,800,constant,pam,0.7926959066673823,mixture/1/4/5/0
1,4,5,0,8,150,800,constant,single,0.00016797081754640642,mixture/1/4/5/0
1,4,5,0,8,150,800,constant,average,0.6932596965846317,mixture/1/4/5/0
1,4,5,0,8,150,800,constant,pam,0.9390910839066968,mixture/1/4/5/0
1,4,5,0,8,200,800,constant,single,0.3242029008471442,mixture/1/4/5/0
1,4,5,0,8,200,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,8,200,800,constant,pam,0.973275423053727,mixture/1/4/5/0
1,4,5,0,8,250,800,constant,single,0.00025176007137684325,mixture/1/4/5/0
1,4,5,0,8,250,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,8,250,800,constant,pam,0.9933486977880377,mixture/1/4/5/0
1,4,5,0,8,300,800,constant,single,0.3257596646514309,mixture/1/4/5/0
1,4,5,0,8,300,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,8,300,800,constant,pam,0.9966656997348249,mixture/1/4/5/0
1,4,5,0,8,350,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,8,350,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,8,350,800,constant,pam,0.9966656997348249,mixture/1/4/5/0
1,4,5,0,8,400,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,8,400,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,8,400,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,8,450,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,8,450,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,8,450,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,8,500,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,8,500,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,8,500,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,9,50,800,constant,single,-0.00043914433903685754,mixture/1/4/5/0
1,4,5,0,9,50,800,constant,average,0.6179265499547905,mixture/1/4/5/0
1,4,5,0,9,50,800,constant,pam,0.6341458844724309,mixture/1/4/5/0
1,4,5,0,9,100,800,constant,single,9.818676119181375e-05,mixture/1/4/5/0
1,4,5,0,9,100,800,constant,average,0.6909345777679708,mixture/1/4/5/0
1,4,5,0,9,100,800,constant,pam,0.9023021855591039,mixture/1/4/5/0
1,4,5,0,9,150,800,constant,single,0.00028289432689541954,mixture/1/4/5/0
1,4,5,0,9,150,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,9,150,800,constant,pam,0.97668204729239,mixture/1/4/5/0
