alpha,K,d,mixture_id,dataset_id,n,N,cost_scheme,algorithm,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
3.0,4,3125,0,2,400,200,constant-mc,pam,0,0.9543052891143844,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,500,200,constant-mc,single,0,0.606969297958024,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,500,200,constant-mc,complete,0,0.9845161106784988,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,500,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,500,200,constant-mc,pam,0,0.939589287679828,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,600,200,constant-mc,single,0,0.606969297958024,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,600,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,600,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,600,200,constant-mc,pam,0,0.96928268865076,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,700,200,constant-mc,single,0,0.606969297958024,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,700,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,700,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,700,200,constant-mc,pam,0,0.9692972570274857,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,800,200,constant-mc,single,0,0.6075317581269573,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,800,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,800,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,800,200,constant-mc,pam,1,1.0,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,900,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,900,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,900,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,900,200,constant-mc,pam,1,1.0,3,0,0,1,0,hmm-mixture/4/4/5/0
