alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,mixture_key
3.0,4,3125,0,50,800,constant-mc,average,5,0,0.4564128414263819,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,pam,5,0,0.27761277139314416,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,single,5,0,0.0007551322459615277,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,average,5,0,0.8920968675971126,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,pam,5,0,0.5999732896412687,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,single,5,0,0.0021168124620773313,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,average,5,0,0.9348589943327771,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,pam,5,0,0.6977553140324663,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,single,5,0,-0.0010282295854675571,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,average,5,0,0.9794216894685698,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,pam,5,0,0.8025502807409908,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,single,5,0,-0.0010282295854675571,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,average,5,0,0.9774984892421749,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,pam,5,0,0.8361107290392469,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,single,5,0,0.39053672032692865,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,average,5,0,0.9920676220906004,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,pam,5,0,0.854618600195572,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,single,5,0,0.3882198660581369,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,average,5,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,pam,5,0,0.8957521280622706,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,single,5,0,0.5811121561126853,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,average,5,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,pam,5,0,0.9299173964176519,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,single,5,0,0.5804813484266867,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,average,5,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,pam,5,0,0.9471807934714136,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,single,5,0,0.5811121561126853,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,average,5,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,pam,5,0,0.9724782507568712,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,single,5,0,0.5811121561126853,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,average,5,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,pam,5,0,0.9920676220906004,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,single,6,0,0.002023715668860282,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,average,6,0,0.4659401507809227,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,pam,6,0,0.257834955106379,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,single,6,0,0.0003449754218037299,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,average,6,0,0.8684516860648339,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,pam,6,0,0.527642455327178,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,single,6,0,0.002023715668860282,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,average,6,0,0.9279791969872143,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,pam,6,0,0.7244963328543702,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,single,6,0,-0.0009858393854483554,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,average,6,0,0.965620613483476,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,pam,6,0,0.7284630732836455,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,single,6,0,-0.000811876665546122,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,average,6,0,0.9884430253434557,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,pam,6,0,0.8740392501777042,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,single,6,0,0.0005102400057108515,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,average,6,0,0.9892004073954248,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,pam,6,0,0.8503871882371924,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,single,6,0,0.36266885578091496,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,average,6,0,0.9920059367843406,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,pam,6,0,0.9079137804268511,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,single,6,0,0.3607299076062926,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,average,6,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,pam,6,0,0.9628683087653425,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,single,6,0,0.5806942497747851,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,average,6,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,pam,6,0,0.976198547971365,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,single,6,0,0.580439847547977,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,average,6,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,pam,6,0,0.9734255146861701,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,single,6,0,0.580439847547977,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,average,6,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,pam,6,0,0.9864121951405275,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,single,7,0,-0.0008412106847596087,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,average,7,0,0.4697628322319172,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,pam,7,0,0.33967270885175993,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,single,7,0,0.0006737576769190979,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,average,7,0,0.8586501179350241,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,pam,7,0,0.44571905946966695,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,single,7,0,0.0005083300971955609,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,average,7,0,0.9240748723294466,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,pam,7,0,0.6832581588050549,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,single,7,0,0.0006737576769190979,hmm-mixture/4/4/5/0
