alpha,K,mixture_id,n,cost_scheme,k,l,gamma_hat,se,ci_low,ci_high,n_pairs,level,mixture_key
0.1,2,15,1000,constant,1,1,0.4939999999999999,0.0019531229519763,0.4891872034014552,0.4988127965985446,60,0.95,mixture/0.1/2/5/15
0.1,2,16,400,constant,0,0,0.6100833333333333,0.0059665873649371,0.5953807405724258,0.6247859260942408,60,0.95,mixture/0.1/2/5/16
0.1,2,16,400,constant,0,1,1.201666666666666,0.0079410492791245,1.1820986948086865,1.2212346385246455,60,0.95,mixture/0.1/2/5/16
0.1,2,16,400,constant,1,1,0.3557499999999999,0.0050461500119896,0.3433155070312519,0.368184492968748,60,0.95,mixture/0.1/2/5/16
0.1,2,16,1000,constant,0,0,0.5850666666666665,0.0031051139399445,0.5774151863575867,0.5927181469757463,60,0.95,mixture/0.1/2/5/16
0.1,2,16,1000,constant,0,1,1.190033333333333,0.0050400635962866,1.1776138382328774,1.2024528284337888,60,0.95,mixture/0.1/2/5/16
0.1,2,16,1000,constant,1,1,0.3418000000000001,0.00271705224119,0.3351047636498072,0.3484952363501929,60,0.95,mixture/0.1/2/5/16
0.1,2,17,400,constant,0,0,0.4553333333333335,0.0059918337396066,0.4405685296061312,0.4700981370605357,60,0.95,mixture/0.1/2/5/17
0.1,2,17,400,constant,0,1,1.1441666666666666,0.0193770084312279,1.0964187252616358,1.1919146080716974,60,0.95,mixture/0.1/2/5/17
0.1,2,17,400,constant,1,1,0.6379166666666668,0.0111767335936299,0.6103754689310955,0.6654578644022381,60,0.95,mixture/0.1/2/5/17
0.1,2,17,1000,constant,0,0,0.4444333333333333,0.0030298297267764,0.4369673649525696,0.4518993017140971,60,0.95,mixture/0.1/2/5/17
0.1,2,17,1000,constant,0,1,1.1301333333333332,0.0122619126135207,1.099918086895166,1.1603485797715003,60,0.95,mixture/0.1/2/5/17
0.1,2,17,1000,constant,1,1,0.5917666666666667,0.0057872042110191,0.5775061017013667,0.6060272316319666,60,0.95,mixture/0.1/2/5/17
0.1,2,18,400,constant,0,0,0.2909166666666666,0.0022596049435557,0.2853486511070748,0.2964846822262584,60,0.95,mixture/0.1/2/5/18
0.1,2,18,400,constant,0,1,1.0646666666666664,0.0032019297382928,1.056776617277998,1.0725567160553349,60,0.95,mixture/0.1/2/5/18
0.1,2,18,400,constant,1,1,0.3810833333333333,0.0030924814663285,0.3734629813902319,0.3887036852764347,60,0.95,mixture/0.1/2/5/18
0.1,2,18,1000,constant,0,0,0.2806333333333333,0.0013674932046571,0.2772636188782105,0.2840030477884562,60,0.95,mixture/0.1/2/5/18
0.1,2,18,1000,constant,0,1,1.0595333333333332,0.0016701883696778,1.0554177312426505,1.0636489354240162,60,0.95,mixture/0.1/2/5/18
0.1,2,18,1000,constant,1,1,0.3718999999999999,0.0016990692034735,0.367713231074421,0.3760867689255788,60,0.95,mixture/0.1/2/5/18
0.1,2,19,400,constant,0,0,0.1371666666666666,0.0033028977746792,0.1290278164426025,0.1453055168907307,60,0.95,mixture/0.1/2/5/19
0.1,2,19,400,constant,0,1,1.846833333333333,0.0040668264301302,1.8368120449193104,1.856854621747356,60,0.95,mixture/0.1/2/5/19
0.1,2,19,400,constant,1,1,0.4024166666666665,0.0026267089316626,0.3959440501839812,0.4088892831493518,60,0.95,mixture/0.1/2/5/19
