alpha,K,d,mixture_id,dataset_id,n,N,cost_scheme,algorithm,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
0.3,4,5,0,2,1000,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,3,100,200,constant,single,0,0.7695019164847517,3,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,3,100,200,constant,complete,1,1.0,3,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,3,100,200,constant,average,1,1.0,3,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,3,100,200,constant,pam,0,0.9558405202995717,3,0,0,1,0,mixture/0.3/4/5/0
0.3,4,5,0,3,200,200,constant,single,0,0.7695019164847517,5,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,3,200,200,constant,complete,1,1.0,5,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,3,200,200,constant,average,1,1.0,5,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,3,200,200,constant,pam,1,1.0,5,0,0,1,0,mixture/0.3/4/5/0
0.3,4,5,0,3,300,200,constant,single,0,0.7695019164847517,4,1,0,,,mixture/0.3/4/5/0
0.3,4,5,0,3,300,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,300,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,300,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,3,400,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,400,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,400,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,400,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,3,500,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,500,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,500,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,500,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,3,600,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,600,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,600,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,600,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,3,700,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,700,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,700,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,700,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,3,800,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,800,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,800,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,800,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,3,900,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,900,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,900,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,900,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,3,1000,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,1000,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,1000,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,3,1000,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,4,100,200,constant,single,0,0.7569160008351533,4,1,0,,,mixture/0.3/4/5/0
0.3,4,5,0,4,100,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,4,100,200,constant,average,0,0.9432066864857934,4,1,0,,,mixture/0.3/4/5/0
0.3,4,5,0,4,100,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
