alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
0.1,2,5,11,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/11
0.1,2,5,12,400,200,constant,single,0,1,1.0,7,0,0,,,mixture/0.1/2/5/12
0.1,2,5,12,400,200,constant,complete,0,0,0.09242729497811995,7,0,0,,,mixture/0.1/2/5/12
0.1,2,5,12,400,200,constant,average,0,0,0.13356356663877036,7,0,0,,,mixture/0.1/2/5/12
0.1,2,5,12,400,200,constant,pam,0,0,0.5017471951723793,7,0,0,0,1,mixture/0.1/2/5/12
0.1,2,5,12,1000,200,constant,single,0,1,1.0,7,0,0,,,mixture/0.1/2/5/12
0.1,2,5,12,1000,200,constant,complete,0,0,0.17307964467375164,7,0,0,,,mixture/0.1/2/5/12
0.1,2,5,12,1000,200,constant,average,0,1,1.0,7,0,0,,,mixture/0.1/2/5/12
0.1,2,5,12,1000,200,constant,pam,0,0,0.7041498137478408,7,0,0,0,1,mixture/0.1/2/5/12
0.1,2,5,13,400,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/13
0.1,2,5,13,400,200,constant,complete,0,0,0.47343166922829066,2,1,0,,,mixture/0.1/2/5/13
0.1,2,5,13,400,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/13
0.1,2,5,13,400,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/13
0.1,2,5,13,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/13
0.1,2,5,13,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/13
0.1,2,5,13,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/13
0.1,2,5,13,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/13
0.1,2,5,14,400,200,constant,single,0,1,1.0,3,0,0,,,mixture/0.1/2/5/14
0.1,2,5,14,400,200,constant,complete,0,1,1.0,3,0,0,,,mixture/0.1/2/5/14
0.1,2,5,14,400,200,constant,average,0,1,1.0,3,0,0,,,mixture/0.1/2/5/14
0.1,2,5,14,400,200,constant,pam,0,1,1.0,3,0,0,0,1,mixture/0.1/2/5/14
0.1,2,5,14,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/14
0.1,2,5,14,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/14
0.1,2,5,14,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/14
0.1,2,5,14,1000,200,constant,pam,0,1,1.0,2,1,1,0,1,mixture/0.1/2/5/14
0.1,2,5,15,400,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/15
0.1,2,5,15,400,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/15
0.1,2,5,15,400,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/15
0.1,2,5,15,400,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/15
0.1,2,5,15,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/15
0.1,2,5,15,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/15
0.1,2,5,15,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/15
0.1,2,5,15,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/15
0.1,2,5,16,400,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/16
0.1,2,5,16,400,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/16
0.1,2,5,16,400,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/16
0.1,2,5,16,400,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/16
0.1,2,5,16,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/16
0.1,2,5,16,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/16
0.1,2,5,16,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/16
0.1,2,5,16,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/16
0.1,2,5,17,400,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/17
0.1,2,5,17,400,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/17
0.1,2,5,17,400,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/17
0.1,2,5,17,400,200,constant,pam,0,0,0.9212059975197182,2,1,0,1,0,mixture/0.1/2/5/17
0.1,2,5,17,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/17
0.1,2,5,17,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/17
0.1,2,5,17,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/17
0.1,2,5,17,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/17
0.1,2,5,18,400,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/18
0.1,2,5,18,400,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/18
0.1,2,5,18,400,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/18
0.1,2,5,18,400,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/18
0.1,2,5,18,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/18
0.1,2,5,18,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/18
0.1,2,5,18,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/18
0.1,2,5,18,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/18
0.1,2,5,19,400,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/19
0.1,2,5,19,400,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/19
0.1,2,5,19,400,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/19
0.1,2,5,19,400,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/19
0.1,2,5,19,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/19
0.1,2,5,19,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/19
0.1,2,5,19,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/19
0.1,2,5,19,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/19
0.1,3,5,0,400,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/0
0.1,3,5,0,400,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/0
0.1,3,5,0,400,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/0
0.1,3,5,0,400,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/0
0.1,3,5,0,1000,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/0
0.1,3,5,0,1000,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/0
0.1,3,5,0,1000,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/0
0.1,3,5,0,1000,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/0
0.1,3,5,1,400,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/1
0.1,3,5,1,400,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/1
0.1,3,5,1,400,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/1
0.1,3,5,1,400,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/1
0.1,3,5,1,1000,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/1
0.1,3,5,1,1000,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/1
0.1,3,5,1,1000,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/1
0.1,3,5,1,1000,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/1
0.1,3,5,2,400,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/2
0.1,3,5,2,400,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/2
0.1,3,5,2,400,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/2
0.1,3,5,2,400,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/2
0.1,3,5,2,1000,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/2
0.1,3,5,2,1000,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/2
0.1,3,5,2,1000,200,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/2
0.1,3,5,2,1000,200,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/2
0.1,3,5,3,400,200,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/3
0.1,3,5,3,400,200,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/3
