alpha,K,mixture_id,n,cost_scheme,k,l,gamma_hat,se,ci_low,ci_high,n_pairs,level,mixture_key
0.1,2,13,1000,constant,1,1,0.2540333333333334,0.0017320453711171333,0.24976530603776417,0.25830136062890263,60,0.95,mixture/0.1/2/5/13
0.1,2,14,400,constant,0,0,0.10249999999999997,0.01168108471474265,0.07371600320884059,0.13128399679115935,60,0.95,mixture/0.1/2/5/14
0.1,2,14,400,constant,0,1,0.8484999999999999,0.004893354192600131,0.8364420195283712,0.8605579804716287,60,0.95,mixture/0.1/2/5/14
0.1,2,14,400,constant,1,1,0.3150833333333332,0.0019725935302045633,0.31022255822295247,0.31994410844371396,60,0.95,mixture/0.1/2/5/14
0.1,2,14,1000,constant,0,0,0.06113333333333333,0.0058557744288828765,0.04670380076107244,0.07556286590559422,60,0.95,mixture/0.1/2/5/14
0.1,2,14,1000,constant,0,1,0.8497333333333333,0.0030429938672437173,0.8422349264773575,0.8572317401893091,60,0.95,mixture/0.1/2/5/14
0.1,2,14,1000,constant,1,1,0.3033666666666667,0.001167828315942841,0.300488957334048,0.30624437599928533,60,0.95,mixture/0.1/2/5/14
0.1,2,15,400,constant,0,0,0.31766666666666654,0.002900094160429916,0.3105203867580447,0.32481294657528836,60,0.95,mixture/0.1/2/5/15
0.1,2,15,400,constant,0,1,0.87275,0.0029887382784672114,0.8653852872941294,0.8801147127058706,60,0.95,mixture/0.1/2/5/15
0.1,2,15,400,constant,1,1,0.5139166666666667,0.0030993248459852715,0.5062794515791836,0.5215538817541497,60,0.95,mixture/0.1/2/5/15
0.1,2,15,1000,constant,0,0,0.3082333333333332,0.0017015059243347176,0.3040405599512194,0.31242610671544696,60,0.95,mixture/0.1/2/5/15
0.1,2,15,1000,constant,0,1,0.8638666666666666,0.0019227256234251222,0.8591287737803065,0.8686045595530266,60,0.95,mixture/0.1/2/5/15
0.1,2,15,1000,constant,1,1,0.49399999999999994,0.0019531229519763286,0.4891872034014552,0.49881279659854466,60,0.95,mixture/0.1/2/5/15
0.1,2,16,400,constant,0,0,0.6100833333333333,0.0059665873649371376,0.5953807405724258,0.6247859260942408,60,0.95,mixture/0.1/2/5/16
0.1,2,16,400,constant,0,1,1.201666666666666,0.007941049279124516,1.1820986948086865,1.2212346385246455,60,0.95,mixture/0.1/2/5/16
0.1,2,16,400,constant,1,1,0.35574999999999996,0.005046150011989617,0.3433155070312519,0.368184492968748,60,0.95,mixture/0.1/2/5/16
0.1,2,16,1000,constant,0,0,0.5850666666666665,0.0031051139399445,0.5774151863575867,0.5927181469757463,60,0.95,mixture/0.1/2/5/16
0.1,2,16,1000,constant,0,1,1.190033333333333,0.005040063596286654,1.1776138382328774,1.2024528284337888,60,0.95,mixture/0.1/2/5/16
0.1,2,16,1000,constant,1,1,0.3418000000000001,0.00271705224119006,0.33510476364980724,0.34849523635019297,60,0.95,mixture/0.1/2/5/16
0.1,2,17,400,constant,0,0,0.4553333333333335,0.005991833739606642,0.4405685296061312,0.47009813706053577,60,0.95,mixture/0.1/2/5/17
0.1,2,17,400,constant,0,1,1.1441666666666666,0.019377008431227957,1.0964187252616358,1.1919146080716974,60,0.95,mixture/0.1/2/5/17
0.1,2,17,400,constant,1,1,0.6379166666666668,0.011176733593629919,0.6103754689310955,0.6654578644022381,60,0.95,mixture/0.1/2/5/17
0.1,2,17,1000,constant,0,0,0.44443333333333335,0.0030298297267764085,0.4369673649525696,0.4518993017140971,60,0.95,mixture/0.1/2/5/17
0.1,2,17,1000,constant,0,1,1.1301333333333332,0.01226191261352076,1.099918086895166,1.1603485797715005,60,0.95,mixture/0.1/2/5/17
0.1,2,17,1000,constant,1,1,0.5917666666666667,0.00578720421101914,0.5775061017013667,0.6060272316319666,60,0.95,mixture/0.1/2/5/17
0.1,2,18,400,constant,0,0,0.29091666666666666,0.002259604943555757,0.28534865110707486,0.29648468222625846,60,0.95,mixture/0.1/2/5/18
0.1,2,18,400,constant,0,1,1.0646666666666664,0.0032019297382928683,1.056776617277998,1.0725567160553349,60,0.95,mixture/0.1/2/5/18
0.1,2,18,400,constant,1,1,0.38108333333333333,0.0030924814663285684,0.37346298139023193,0.38870368527643473,60,0.95,mixture/0.1/2/5/18
0.1,2,18,1000,constant,0,0,0.28063333333333335,0.0013674932046571285,0.2772636188782105,0.2840030477884562,60,0.95,mixture/0.1/2/5/18
0.1,2,18,1000,constant,0,1,1.0595333333333332,0.0016701883696778519,1.0554177312426503,1.0636489354240162,60,0.95,mixture/0.1/2/5/18
0.1,2,18,1000,constant,1,1,0.3718999999999999,0.0016990692034735062,0.367713231074421,0.3760867689255788,60,0.95,mixture/0.1/2/5/18
0.1,2,19,400,constant,0,0,0.13716666666666663,0.0033028977746792534,0.12902781644260253,0.14530551689073073,60,0.95,mixture/0.1/2/5/19
0.1,2,19,400,constant,0,1,1.846833333333333,0.004066826430130261,1.8368120449193102,1.856854621747356,60,0.95,mixture/0.1/2/5/19
0.1,2,19,400,constant,1,1,0.40241666666666653,0.0026267089316626005,0.39594405018398127,0.4088892831493518,60,0.95,mixture/0.1/2/5/19
0.1,2,19,1000,constant,0,0,0.12433333333333334,0.0020755050663880913,0.11921896830389814,0.12944769836276854,60,0.95,mixture/0.1/2/5/19
0.1,2,19,1000,constant,0,1,1.8544999999999994,0.002526973134075423,1.8482731479259986,1.8607268520740001,60,0.95,mixture/0.1/2/5/19
0.1,2,19,1000,constant,1,1,0.3930000000000001,0.0016824115057191772,0.3888542782143417,0.39714572178565855,60,0.95,mixture/0.1/2/5/19
0.1,3,0,400,constant,0,0,0.2355833333333333,0.0028771741144954033,0.2277282692018216,0.24343839746484502,60,0.95,mixture/0.1/3/5/0
0.1,3,0,400,constant,0,1,1.5018333333333336,0.003821524429363033,1.4914000685122888,1.5122665981543784,60,0.95,mixture/0.1/3/5/0
0.1,3,0,400,constant,0,2,1.8300833333333324,0.0036928157207298195,1.8200014602322063,1.8401652064344585,60,0.95,mixture/0.1/3/5/0
0.1,3,0,400,constant,1,1,0.3871666666666667,0.002892535363418265,0.37926966430318587,0.39506366903014756,60,0.95,mixture/0.1/3/5/0
0.1,3,0,400,constant,1,2,0.9801666666666667,0.002869493416448853,0.9723325718520366,0.9880007614812969,60,0.95,mixture/0.1/3/5/0
0.1,3,0,400,constant,2,2,0.5025,0.0033031828513045646,0.49348187593014065,0.5115181240698592,60,0.95,mixture/0.1/3/5/0
